item_id,order_id,user_id,product_name,category,brand,quantity,unit_price_sgd,line_total_sgd,on_promotion
I0000095,O000019,U0003,Matches,Kitchen Essentials,Glad,2,13.01,26.02,False
I0000096,O000019,U0003,Scouring Pad,Kitchen Essentials,Glad,2,16.19,32.38,True
I0000097,O000020,U0003,Wet Wipes,Baby and Family Care,Huggies,3,23.8,71.4,True
I0000098,O000020,U0003,Rubber Bands,Kitchen Essentials,Scotch-Brite,1,18.65,18.65,False
I0000099,O000020,U0003,Baby Bottle Brush,Baby and Family Care,Mamypoko,2,7.15,14.3,True
I0000100,O000020,U0003,Tissue Paper,Baby and Family Care,Kotex,2,12.06,24.12,True
I0000101,O000021,U0003,Kitchen Roll,Kitchen Essentials,Glad,3,18.07,54.21,False
I0000102,O000021,U0003,Kitchen Roll,Kitchen Essentials,3M,1,8.96,8.96,False
I0000103,O000021,U0003,Broom,Cleaning Supplies,Cif,2,21.23,42.46,True
I0000104,O000021,U0003,Ziplock Bags,Kitchen Essentials,Giant Brand,2,8.63,17.26,False
I0000105,O000021,U0003,Cling Wrap,Kitchen Essentials,Glad,1,19.81,19.81,True
I0000106,O000021,U0003,Dish Rack,Kitchen Essentials,3M,2,15.73,31.46,False
I0000107,O000021,U0003,Cling Wrap,Kitchen Essentials,Sunlight,2,3.37,6.74,False
I0000108,O000021,U0003,Dish Rack,Kitchen Essentials,Giant Brand,3,16.76,50.28,True
I0000109,O000022,U0003,Dish Soap,Kitchen Essentials,Giant Brand,1,23.25,23.25,False
I0000110,O000022,U0003,Scouring Pad,Kitchen Essentials,Scotch-Brite,1,3.05,3.05,False
I0000111,O000022,U0003,Baby Bottle Brush,Baby and Family Care,Kotex,2,17.66,35.32,False
I0000112,O000023,U0003,Rubber Bands,Kitchen Essentials,Glad,2,15.87,31.74,False
I0000113,O000023,U0003,Matches,Kitchen Essentials,Sunlight,3,4.07,12.21,False
I0000114,O000024,U0004,Baby Wipes,Baby and Family Care,Kotex,2,13.63,27.26,False
I0000115,O000024,U0004,Tissue Paper,Baby and Family Care,Dettol,2,22.28,44.56,False
I0000116,O000024,U0004,Nappy Rash Cream,Baby and Family Care,Dettol,2,15.91,31.82,True
I0000117,O000024,U0004,Baby Powder,Baby and Family Care,Dettol,3,12.11,36.33,False
I0000118,O000024,U0004,Clothespins,Laundry,Attack,1,10.74,10.74,False
I0000119,O000024,U0004,Fabric Softener,Laundry,Attack,3,22.55,67.65,False
I0000120,O000025,U0004,Tissue Paper,Baby and Family Care,Mamypoko,3,18.73,56.19,True
I0000121,O000025,U0004,Cling Wrap,Kitchen Essentials,Glad,1,13.81,13.81,False
I0000122,O000025,U0004,Dryer Sheets,Laundry,Attack,1,10.4,10.4,False
I0000123,O000025,U0004,Tissue Paper,Baby and Family Care,Johnson and Johnson,3,21.98,65.94,False
I0000124,O000026,U0004,Baby Wipes,Baby and Family Care,Dettol,2,8.77,17.54,False
I0000125,O000026,U0004,Washing Machine Cleaner,Laundry,Downy,1,22.62,22.62,False
I0000126,O000026,U0004,Hand Sanitiser,Baby and Family Care,Huggies,2,13.19,26.38,False
I0000127,O000027,U0004,Clothespins,Laundry,Breeze,2,11.14,22.28,True
I0000128,O000027,U0004,Wet Wipes,Baby and Family Care,Kotex,2,16.06,32.12,False
I0000129,O000027,U0004,Multi-Purpose Spray,Cleaning Supplies,Cif,1,2.79,2.79,False
I0000130,O000027,U0004,Baby Wipes,Baby and Family Care,Kotex,3,8.51,25.53,False
I0000131,O000027,U0004,Laundry Detergent,Laundry,Downy,1,17.29,17.29,False
I0000132,O000028,U0004,Baby Wipes,Baby and Family Care,Huggies,2,9.09,18.18,False
I0000133,O000028,U0004,Bottle Brush,Kitchen Essentials,Giant Brand,3,3.03,9.09,False
I0000134,O000028,U0004,Hand Sanitiser,Baby and Family Care,Johnson and Johnson,3,11.22,33.66,True
I0000135,O000028,U0004,Baby Wipes,Baby and Family Care,Huggies,3,18.65,55.95,False
I0000136,O000028,U0004,Fabric Softener,Laundry,Attack,3,8.25,24.75,False
I0000137,O000028,U0004,Dryer Sheets,Laundry,Attack,3,9.82,29.46,True
I0000138,O000028,U0004,Dryer Sheets,Laundry,Breeze,2,20.49,40.98,False
I0000139,O000029,U0004,Floor Cleaner,Cleaning Supplies,Dettol,1,12.42,12.42,False
I0000140,O000029,U0004,Drain Cleaner,Cleaning Supplies,Giant Brand,2,11.23,22.46,False
I0000141,O000029,U0004,Washing Machine Cleaner,Laundry,Downy,1,16.55,16.55,False
I0000142,O000029,U0004,Baby Shampoo,Baby and Family Care,Johnson and Johnson,2,13.41,26.82,False
I0000143,O000030,U0005,Kitchen Roll,Kitchen Essentials,Sunlight,1,6.06,6.06,False
I0000144,O000030,U0005,Fabric Softener,Laundry,Breeze,1,16.67,16.67,False
I0000145,O000030,U0005,Ziplock Bags,Kitchen Essentials,Glad,2,19.92,39.84,False
I0000146,O000030,U0005,Baby Powder,Baby and Family Care,Kotex,2,14.78,29.56,False
I0000147,O000030,U0005,Conditioner,Toiletries and Personal Care,Pantene,3,17.61,52.83,False
I0000148,O000031,U0005,Mouthwash,Toiletries and Personal Care,Darlie,3,14.06,42.18,True
I0000149,O000031,U0005,Facial Cleanser,Toiletries and Personal Care,Nivea,1,21.82,21.82,False
I0000150,O000031,U0005,Floss,Toiletries and Personal Care,Gatsby,1,7.88,7.88,True
I0000151,O000031,U0005,Razor,Toiletries and Personal Care,Darlie,2,6.58,13.16,False
I0000152,O000032,U0005,Toothpaste,Toiletries and Personal Care,Darlie,3,2.09,6.27,False
I0000153,O000032,U0005,Moisturiser,Toiletries and Personal Care,Colgate,2,18.71,37.42,False
I0000154,O000032,U0005,Sponge,Cleaning Supplies,Dettol,3,17.4,52.2,True
I0000155,O000032,U0005,Laundry Detergent,Laundry,Breeze,3,21.82,65.46,True
I0000156,O000032,U0005,Body Wash,Toiletries and Personal Care,Gatsby,3,21.99,65.97,False
I0000157,O000032,U0005,Mop,Cleaning Supplies,Giant Brand,3,19.02,57.06,True
I0000158,O000032,U0005,Cling Wrap,Kitchen Essentials,Scotch-Brite,2,6.21,12.42,False
I0000159,O000032,U0005,Drain Cleaner,Cleaning Supplies,Dettol,2,5.01,10.02,False
I0000160,O000033,U0005,Broom,Cleaning Supplies,Giant Brand,2,7.87,15.74,False
I0000161,O000033,U0005,Washing Machine Cleaner,Laundry,Downy,1,3.17,3.17,False
I0000162,O000034,U0006,Laundry Detergent,Laundry,Dynamo,2,2.76,5.52,False
I0000163,O000034,U0006,Washing Machine Cleaner,Laundry,Attack,2,8.84,17.68,False
I0000164,O000035,U0006,Fabric Softener,Laundry,Breeze,1,12.21,12.21,False
I0000165,O000035,U0006,Laundry Detergent,Laundry,Breeze,1,23.77,23.77,True
I0000166,O000035,U0006,Body Wash,Toiletries and Personal Care,Colgate,2,5.81,11.62,False
I0000167,O000035,U0006,Clothespins,Laundry,Breeze,2,2.21,4.42,False
I0000168,O000035,U0006,Washing Machine Cleaner,Laundry,Downy,2,19.55,39.1,False
I0000169,O000036,U0006,Mop,Cleaning Supplies,Mr Muscle,3,16.76,50.28,False
I0000170,O000036,U0006,Ironing Board Cover,Laundry,Attack,2,7.11,14.22,True
I0000171,O000036,U0006,Washing Machine Cleaner,Laundry,Breeze,1,9.51,9.51,False
I0000172,O000036,U0006,Ironing Board Cover,Laundry,Attack,2,14.3,28.6,True
I0000173,O000036,U0006,Bleach,Cleaning Supplies,Giant Brand,2,4.19,8.38,False
I0000174,O000036,U0006,Fabric Softener,Laundry,Breeze,1,8.74,8.74,False
I0000175,O000036,U0006,Ironing Board Cover,Laundry,Vanish,2,16.66,33.32,True
I0000176,O000036,U0006,Stain Remover,Laundry,Attack,3,20.53,61.59,False
I0000177,O000037,U0006,Washing Machine Cleaner,Laundry,Downy,1,17.52,17.52,False
I0000178,O000037,U0006,Laundry Bags,Laundry,Breeze,3,24.59,73.77,False
I0000179,O000037,U0006,Laundry Detergent,Laundry,Attack,3,11.0,33.0,True
I0000180,O000037,U0006,Clothespins,Laundry,Attack,1,1.52,1.52,False
I0000181,O000037,U0006,Broom,Cleaning Supplies,Mr Muscle,1,7.03,7.03,False
I0000182,O000038,U0006,Ironing Board Cover,Laundry,Attack,1,17.07,17.07,False
I0000183,O000038,U0006,Ironing Board Cover,Laundry,Vanish,2,5.13,10.26,False
I0000184,O000038,U0006,Scrubbing Brush,Cleaning Supplies,Dettol,1,16.74,16.74,True
I0000185,O000038,U0006,Ziplock Bags,Kitchen Essentials,Giant Brand,1,3.49,3.49,False
I0000186,O000038,U0006,Washing Machine Cleaner,Laundry,Attack,2,16.15,32.3,False
I0000187,O000039,U0006,Stain Remover,Laundry,Breeze,3,1.67,5.01,False
I0000188,O000039,U0006,Matches,Kitchen Essentials,3M,2,11.15,22.3,False
I0000189,O000039,U0006,Laundry Detergent,Laundry,Attack,2,18.06,36.12,True
I0000190,O000039,U0006,Fabric Softener,Laundry,Downy,3,18.69,56.07,False
I0000191,O000039,U0006,Diapers,Baby and Family Care,Johnson and Johnson,2,13.65,27.3,False
I0000192,O000040,U0006,Ziplock Bags,Kitchen Essentials,Sunlight,3,16.39,49.17,False
I0000193,O000040,U0006,Laundry Detergent,Laundry,Vanish,3,19.8,59.4,False
I0000194,O000040,U0006,Washing Machine Cleaner,Laundry,Attack,3,9.29,27.87,False
I0000195,O000040,U0006,Toothbrush,Toiletries and Personal Care,Colgate,1,2.33,2.33,False
I0000196,O000040,U0006,Dish Rack,Kitchen Essentials,3M,2,2.94,5.88,False
I0000197,O000040,U0006,Laundry Detergent,Laundry,Vanish,3,16.17,48.51,False
I0000198,O000040,U0006,Fabric Softener,Laundry,Vanish,2,4.61,9.22,False
I0000199,O000041,U0006,Stain Remover,Laundry,Breeze,2,20.48,40.96,False
I0000200,O000041,U0006,Stain Remover,Laundry,Downy,3,21.76,65.28,False
I0000201,O000041,U0006,Stain Remover,Laundry,Attack,1,21.18,21.18,False
I0000202,O000041,U0006,Ironing Board Cover,Laundry,Downy,3,11.84,35.52,False
I0000203,O000041,U0006,Clothespins,Laundry,Dynamo,3,7.71,23.13,False
I0000204,O000041,U0006,Washing Machine Cleaner,Laundry,Breeze,2,8.58,17.16,False
I0000205,O000042,U0006,Stain Remover,Laundry,Attack,2,1.78,3.56,False
I0000206,O000042,U0006,Clothespins,Laundry,Attack,3,23.96,71.88,True
I0000207,O000042,U0006,Clothespins,Laundry,Breeze,3,23.07,69.21,False
I0000208,O000042,U0006,Laundry Bags,Laundry,Dynamo,2,16.88,33.76,False
I0000209,O000042,U0006,Scouring Pad,Kitchen Essentials,Scotch-Brite,3,17.29,51.87,False
I0000210,O000043,U0006,Laundry Detergent,Laundry,Dynamo,1,1.78,1.78,True
I0000211,O000043,U0006,Washing Machine Cleaner,Laundry,Vanish,1,18.54,18.54,False
I0000212,O000043,U0006,Fabric Softener,Laundry,Dynamo,3,16.93,50.79,False
I0000213,O000044,U0006,Scrubbing Brush,Cleaning Supplies,Kao,3,19.45,58.35,False
I0000214,O000044,U0006,Trash Bags,Cleaning Supplies,Dettol,3,5.83,17.49,False
I0000215,O000045,U0007,Candles,Kitchen Essentials,Glad,2,5.31,10.62,True
I0000216,O000045,U0007,Shaving Cream,Toiletries and Personal Care,Darlie,2,24.91,49.82,False
I0000217,O000045,U0007,Trash Bags,Cleaning Supplies,Kao,1,13.06,13.06,False
I0000218,O000045,U0007,Sanitary Pads,Baby and Family Care,Dettol,1,4.88,4.88,False
I0000219,O000046,U0007,Laundry Detergent,Laundry,Vanish,1,2.32,2.32,True
I0000220,O000046,U0007,Diapers,Baby and Family Care,Dettol,1,22.57,22.57,True
I0000221,O000046,U0007,Baby Shampoo,Baby and Family Care,Dettol,2,5.06,10.12,False
I0000222,O000046,U0007,Diapers,Baby and Family Care,Kotex,3,23.59,70.77,False
I0000223,O000046,U0007,Baby Powder,Baby and Family Care,Kotex,1,1.58,1.58,False
I0000224,O000046,U0007,Fabric Softener,Laundry,Dynamo,3,14.08,42.24,False
I0000225,O000046,U0007,Floss,Toiletries and Personal Care,Darlie,1,16.36,16.36,False
I0000226,O000047,U0007,Mouthwash,Toiletries and Personal Care,Dove,2,19.37,38.74,False
I0000227,O000047,U0007,Washing Machine Cleaner,Laundry,Dynamo,2,17.03,34.06,False
I0000228,O000047,U0007,Baby Bottle Brush,Baby and Family Care,Johnson and Johnson,2,3.49,6.98,False
I0000229,O000047,U0007,Scrubbing Brush,Cleaning Supplies,Dettol,1,2.1,2.1,False
I0000230,O000047,U0007,Facial Cleanser,Toiletries and Personal Care,Dove,3,16.62,49.86,False
I0000231,O000047,U0007,Baby Shampoo,Baby and Family Care,Dettol,1,2.37,2.37,True
I0000232,O000048,U0007,Clothespins,Laundry,Breeze,3,21.95,65.85,False
I0000233,O000048,U0007,Shampoo,Toiletries and Personal Care,Dove,1,18.78,18.78,False
I0000234,O000049,U0007,Hand Sanitiser,Baby and Family Care,Huggies,1,16.37,16.37,False
I0000235,O000049,U0007,Mop,Cleaning Supplies,Kao,3,5.51,16.53,False
I0000236,O000049,U0007,Mop,Cleaning Supplies,Dettol,2,15.48,30.96,False
I0000237,O000049,U0007,Panty Liners,Baby and Family Care,Dettol,2,20.57,41.14,False
I0000238,O000049,U0007,Floss,Toiletries and Personal Care,Dove,3,15.04,45.12,True
I0000239,O000049,U0007,Baby Wipes,Baby and Family Care,Mamypoko,1,15.44,15.44,False
I0000240,O000050,U0007,Rubber Gloves,Cleaning Supplies,Mr Muscle,3,5.38,16.14,True
I0000241,O000050,U0007,Hand Sanitiser,Baby and Family Care,Huggies,3,15.89,47.67,False
I0000242,O000050,U0007,Dryer Sheets,Laundry,Dynamo,1,1.67,1.67,False
I0000243,O000051,U0007,Diapers,Baby and Family Care,Dettol,3,4.48,13.44,True
I0000244,O000051,U0007,Laundry Detergent,Laundry,Breeze,1,23.55,23.55,False
I0000245,O000051,U0007,Sanitary Pads,Baby and Family Care,Dettol,3,23.83,71.49,False
I0000246,O000051,U0007,Deodorant,Toiletries and Personal Care,Darlie,1,14.61,14.61,True
I0000247,O000051,U0007,Mop,Cleaning Supplies,Giant Brand,2,21.77,43.54,False
I0000248,O000051,U0007,Fabric Softener,Laundry,Downy,2,2.75,5.5,True
I0000249,O000051,U0007,Stain Remover,Laundry,Breeze,1,5.25,5.25,False
I0000250,O000052,U0007,Cotton Buds,Toiletries and Personal Care,Colgate,2,16.0,32.0,False
I0000251,O000052,U0007,Baby Bottle Brush,Baby and Family Care,Huggies,3,5.63,16.89,False
I0000252,O000052,U0007,Wet Wipes,Baby and Family Care,Huggies,1,18.45,18.45,False
I0000253,O000052,U0007,Panty Liners,Baby and Family Care,Johnson and Johnson,1,19.81,19.81,False
I0000254,O000053,U0007,Panty Liners,Baby and Family Care,Dettol,1,3.23,3.23,False
I0000255,O000053,U0007,Cotton Buds,Toiletries and Personal Care,Pantene,1,23.31,23.31,False
I0000256,O000053,U0007,Hand Sanitiser,Baby and Family Care,Dettol,3,6.06,18.18,False
I0000257,O000053,U0007,Deodorant,Toiletries and Personal Care,Pantene,1,17.77,17.77,True
I0000258,O000053,U0007,Fabric Softener,Laundry,Breeze,2,5.52,11.04,False
I0000259,O000053,U0007,Dishwasher Tablets,Kitchen Essentials,Scotch-Brite,3,23.89,71.67,False
I0000260,O000053,U0007,Washing Machine Cleaner,Laundry,Downy,1,11.17,11.17,False
I0000261,O000054,U0007,Bar Soap,Toiletries and Personal Care,Dove,3,11.56,34.68,False
I0000262,O000054,U0007,Cotton Buds,Toiletries and Personal Care,Nivea,1,22.46,22.46,False
I0000263,O000054,U0007,Diapers,Baby and Family Care,Dettol,1,2.44,2.44,False
I0000264,O000054,U0007,Glass Cleaner,Cleaning Supplies,Kao,3,10.77,32.31,False
I0000265,O000054,U0007,Mop,Cleaning Supplies,Kao,2,7.15,14.3,False
I0000266,O000055,U0007,Shampoo,Toiletries and Personal Care,Pantene,2,8.45,16.9,False
I0000267,O000055,U0007,Stain Remover,Laundry,Vanish,1,18.03,18.03,False
I0000268,O000055,U0007,Toilet Bowl Cleaner,Cleaning Supplies,Kao,2,19.64,39.28,False
I0000269,O000055,U0007,Shaving Cream,Toiletries and Personal Care,Gatsby,2,18.04,36.08,True
I0000270,O000055,U0007,Facial Cleanser,Toiletries and Personal Care,Gatsby,2,13.98,27.96,False
I0000271,O000055,U0007,Candles,Kitchen Essentials,3M,3,15.02,45.06,True
I0000272,O000055,U0007,Kitchen Roll,Kitchen Essentials,Glad,3,23.41,70.23,False
I0000273,O000056,U0007,Shaving Cream,Toiletries and Personal Care,Darlie,3,2.46,7.38,False
I0000274,O000056,U0007,Baby Powder,Baby and Family Care,Kotex,3,19.68,59.04,True
I0000275,O000057,U0007,Stain Remover,Laundry,Attack,3,6.43,19.29,False
I0000276,O000057,U0007,Razor,Toiletries and Personal Care,Colgate,3,17.49,52.47,False
I0000277,O000057,U0007,Razor,Toiletries and Personal Care,Darlie,2,13.28,26.56,False
I0000278,O000057,U0007,Ironing Board Cover,Laundry,Attack,2,12.12,24.24,False
I0000279,O000057,U0007,Candles,Kitchen Essentials,Sunlight,1,22.46,22.46,False
I0000280,O000057,U0007,Sanitary Pads,Baby and Family Care,Johnson and Johnson,1,4.07,4.07,False
I0000281,O000058,U0008,Toilet Bowl Cleaner,Cleaning Supplies,Mr Muscle,2,24.29,48.58,False
I0000282,O000058,U0008,Cotton Buds,Toiletries and Personal Care,Darlie,2,18.84,37.68,True
I0000283,O000058,U0008,Fabric Softener,Laundry,Downy,3,16.65,49.95,False
I0000284,O000058,U0008,Moisturiser,Toiletries and Personal Care,Darlie,3,17.15,51.45,False
I0000285,O000058,U0008,Baby Bottle Brush,Baby and Family Care,Johnson and Johnson,3,4.6,13.8,False
I0000286,O000058,U0008,Deodorant,Toiletries and Personal Care,Pantene,2,10.24,20.48,False
I0000287,O000059,U0008,Kitchen Roll,Kitchen Essentials,Scotch-Brite,3,14.08,42.24,True
I0000288,O000059,U0008,Conditioner,Toiletries and Personal Care,Pantene,1,4.25,4.25,False
I0000289,O000059,U0008,Nappy Rash Cream,Baby and Family Care,Johnson and Johnson,2,5.84,11.68,False
I0000290,O000059,U0008,Moisturiser,Toiletries and Personal Care,Colgate,1,10.26,10.26,False
I0000291,O000059,U0008,Facial Cleanser,Toiletries and Personal Care,Dove,1,11.01,11.01,False
I0000292,O000060,U0008,Sanitary Pads,Baby and Family Care,Kotex,2,16.71,33.42,False
I0000293,O000060,U0008,Sanitary Pads,Baby and Family Care,Kotex,3,4.96,14.88,False
I0000294,O000060,U0008,Cotton Buds,Toiletries and Personal Care,Colgate,3,4.14,12.42,False
I0000295,O000061,U0008,Baby Shampoo,Baby and Family Care,Kotex,1,11.98,11.98,True
I0000296,O000061,U0008,Toothbrush,Toiletries and Personal Care,Nivea,3,6.72,20.16,False
I0000297,O000062,U0008,Rubber Bands,Kitchen Essentials,Sunlight,3,10.77,32.31,False
